"nom_de_la_marque_du_produit","count"
"sans marque","353"
"Sans marque","282"
"ADELIE","246"
"SANS MARQUE","206"
"NETTO","170"
"AUCHAN","153"
"U","111"
"Mercedes-Benz","109"
"TAGLAB","83"
"Peugeot","82"
"JAMPI","82"
"Ford","58"
"/","57"
"Leader Price","55"
"CASINO","53"
"VW","53"
"Toupargel","51"
"METRO CHEF","48"
"Renault","42"
"SOCIETE LAITIERE DE VICHY","42"
"ESKISS","42"
"GAST","41"
"PICARD","40"
"MERCEDES-BENZ","40"
"EXTREME ®","39"
"cora","36"
"BMW","36"
"TOUPARGEL","35"
"MONOPRIX","35"
"Sans Marque","32"
"Audi","32"
"TRIUM","31"
"Carrefour","31"
"ARGEL","31"
"Carrefour Extra","31"
"CORA","30"
"Opel","30"
"Citroen","30"
"Fournier fils","30"
"VAN DEN CASTEELE","28"
"ELITE / STRAUSS","27"
"Toyota","26"
"Mazda","26"
"CELNAT","26"
"CHABRIOR","25"
"MARQUE U","25"
"OPEL","25"
"PILPA","24"
"Citroën","24"
"Casino","23"
"a pignatta nustrale","23"
"JAY&JOY","23"
"TOP BUDGET","22"
"Ferme de Kerheu","22"
"PEUGEOT","22"
"Bmw","20"
"La ferme au délice royal","20"
"Eismann","20"
"MOULINS WAAST","20"
"Charcuterie de la Thur","19"
"NATALI","19"
"CARREFOUR","19"
"Carrefour Sensation","19"
"SANS","19"
"MONOPRIX GOURMET","19"
"Nestlé signature","19"
"Monoprix","18"
"SAINTE LUCIE","18"
"LE MONDE EN TUBE","18"
"THIRIET","17"
"Hyundai","17"
"Fleurance Nature","17"
"DELI HEMP","17"
"CIGALOU","17"
"Nissan","17"
"Le Leck","16"
"MAISONS DU MONDE","16"
"CITROEN","16"
"Thiriet","16"
"BIOCOOP","16"
"Porsche","16"
"BIO VILLAGE","16"
"Nestlé","15"
"Honda","15"
"Seat","15"
"Land Rover","15"
"KINDER","15"
"sans","15"
"LA BELLE AUDE","15"
"Paysan Breton","14"
"Neutre","13"
"NOS REGIONS ONT DU TALENT","13"
"Vallégrain","13"
"BELLE FRANCE","13"
"Franprix","13"
"ATELIER DU PETIT LEON","13"
"Sans marque - fabrication par le magasin","13"
"QUALITE TRAITEUR","13"
"GERMLINE","13"
"SUPERDIET","13"
"RENAULT","13"
"MUCCI","13"
"LA VIE CLAIRE","13"
"Novaloa","13"
"DUCULTY","12"
"Volvo","12"
"PITON DES NEIGES","12"
"Maison Peneau","12"
"MAISON LIMOUZIN","12"
"DS","12"
"Snickers","12"
"LAND ROVER","12"
"FRANPRIX","11"
"La Balade Gourmande","11"
"MAZDA","11"
"M&M's","11"
"Skoda","11"
"PLAISANCE BIO","11"
"Fiat","11"
"Le Pic","11"
"IKEA","11"
"yumy","10"
"ORLANE","10"
"FUNCAKES","10"
"Twix","10"
"MDH","10"
"E.Graindorge","10"
"Terre Exotique","10"
"SuperNature","10"
"Les Entrées de la Mer","10"
"L'arbre à glaces","10"
"Glace & Sorbets du Périgord","10"
"LA MARQUE 64","10"
"Monoprix Gourmet","10"
"EXCELLENCE","10"
"GRAINE DE BULLES","10"
"sans marque (vendu au rayon stand avec service)","10"
"LEADER PRICE","10"
"Poupluche","10"
"La Dame de Clèdes","10"
"Bijou","10"
"La Manufacture des Belles Glaces","10"
"TEMPE","10"
"PAT ET RIPATON","10"
"George Cannon","9"
"Arabian Oud","9"
"Pileje","9"
"Carrefour BIO","9"
"ANNAYAKE","9"
"DOUX","9"
"ARSENE ET LES PIPELETTES","9"
"Eprit gourmand","9"
"AMAND TRAITEUR","9"
"Le pêcheur Créole","9"
"Carrefour / Carrefour Extra","9"
"Le Gaulois","9"
"Dacia","9"
"CEMOI","9"
"Producteurs & Commerçants","9"
"ANDRE LOUSSOUARN","9"
"SANCHEZ","9"
"ORIENTAL KITCHEN","9"
"Nurilia","9"
"TRS","9"
"SANTAROME BIO","9"
"TY SKORN - MOUSTACHE - COUP DE PATE - SANCHEZ - TAGLAB","9"
"Carrefour Le Marché","9"
"PHARMACIE FLORIT LAFAYETTE","9"
"PARADIS GLACES","9"
"Erhard Pâtissier Glacier","8"
"CBD QUEEN","8"
"LA GLACE","8"
"CITROËN","8"
"VALPIBIO","8"
"SOURCES","8"
"La Laitiere  ®","8"
"Bounty","8"
"Diet Horizon","8"
"MAISON MILHAU","8"
"MONTS et TERROIRS","8"
"Cell'innov","8"
"Ferme de la Boisette / Ferme du Mont St Cyr","8"
"VE WONG / Vihuongto Brand","8"
"LA WILLIAM","8"
"SHAN","8"
"KIA","8"
"Alnatura","8"
"Cochonnailles du Haut-Bois","8"
"Filière Qualité Carrefour","8"
"DEBEAUVOORDER","8"
"Qualité traiteur","8"
"NEUTRE","8"
"RONDE DES MERS","8"
"La Ferme Reilhes","8"
"Antoine Sabatier","8"
"KTM","8"
"LA FERME DUMESNIL","8"
"HENNART","8"
"Carrefour Classic","7"
"NOTRE JARDIN","7"
"PORSCHE","7"
"BE-LIFE","7"
"SAINT GERY","7"
"Fromagerie Anjouin","7"
"Patrimoine Gourmand","7"
"Kia","7"
"SAISSE ET FILS","7"
"REFLETS DE FRANCE","7"
"PPNP (Préparé Par Nos Pros)","7"
"Pas de marque","7"
"Scania","7"
"ski","7"
"AUDI","7"
"Baechler","7"
"MAN","7"
"Thierry SCHWEITZER","7"
"La Cuisine du Poissonnier","7"
"METRO Chef","7"
"FLOUP","7"
"ORFITO","7"
"La Glacerie","7"
"ARO","7"
"Maison PAPILLON","7"
"PRODUITS DE LA CIGOGNE","7"
"ARKOPHARMA","7"
"Reflets de France","7"
"SUPER U VERTOU","7"
"Nature & Découvertes","7"
"Metzger-Muller","7"
"ZHANLIDA","7"
"Laboratoire Floralpina","7"
"VOLAE","7"
"CLERMONT","7"
"Primark","6"
"Ets Chêne et Fils","6"
"Zeeman","6"
"Carrefour Bio","6"
"Jaguar","6"
"COLLECTION","6"
"LE GAULOIS","6"
"Père Anselme","6"
"BOURGOGNE-SAVEUR DE BOURGOGNE","6"
"ökoland","6"
"B&G INTERNATIONAL","6"
"Erhard","6"
"LABORATOIRES IPHYM","6"
"Etal du volailler","6"
"Volailles René MEYER","6"
"MONIQUE RANOU","6"
"LA LAITIERE","6"
"Happyvore","6"
"SALAISONNIERS DU PILAT","6"
"SMICY","6"
"VOLVO","6"
"Mercedes- Benz","6"
"Aptonia","6"
"FIESTAS GUIRCA","6"
"Tesla","6"
"Sondey","6"
"Suzuki","6"
"PETIT NAVIRE","6"
"U SAVEURS","6"
"SHEIN","6"
"POUCE","6"
"PAYS GOURMAND","6"
"La Sablaise","6"
"Maison Chapuis","6"
"Itinéraire des Saveurs","6"
"Auchan","6"
"La Belle Nature","6"
"ISLA DELICE","6"
"Salaisons de la Haute Ardèche","6"
"Sans","6"
"Monique Ranou","6"
"HOA NAM","6"
"Envia","6"
"NUTRAVANCE","6"
"STIHL","6"
"DS Automobiles","6"
"Maison Naja","6"
"BOUDOU","6"
"Caresse Antillaise","6"
"CHARCUTERIE COSME","6"
"MERCIER","5"
"Glaces des Alpes","5"
"CARREFOUR EXTRA","5"
"Bioporc","5"
"Rosé Fruité","5"
"Pural","5"
"EARL LES 3 M","5"
"Yamaha","5"
"La Glace","5"
"centre E. Leclerc de Gouesnou","5"
"LA BARRE","5"
"CRYSTAL","5"
"qualité traiteur","5"
"LES CROISES","5"
"TY SKORN","5"
"Le local en bocal","5"
"OTTAVI","5"
"COMUS","5"
"PHYTO MASTER","5"
"Cupra","5"
"LA MONTLOUISIENNE","5"
"CARREFOUR SENSATION","5"
"Pierre Schmidt","5"
".","5"
"Nutrivie","5"
"BIOPORC","5"
"MAITRE COQ","5"
"LA FRAISERAIE","5"
"Laboratoire Léro","5"
"COUP DE PATES","5"
"Pharm & Nature","5"
"LE GAULOIS PROFESSIONNEL","5"
"Bouchara","5"
"LFG","5"
"DIETAROMA","5"
"ITINERAIRE DES SAVEURS","5"
"Carrefour Original","5"
"STRAWS RIETJES","5"
"Biocoop","5"
"ACB Pharma-L'Herbôthicaire","5"
"La cuisine du poissonnier","5"
"ARTISAN GIVRE","5"
"ATELIER GIVRE","5"
"MARQUE G","5"
"SINGULADERM","5"
"Cultimer producteurs associés","5"
"Deluxe","5"
"La compagnie des marmottes","5"
"Laboratoires Fenioux","5"
"Système U","5"
"SANTAREL","5"
"CORRIL","5"
"ABC","5"
"Triumph","5"
"Renault Trucks","5"
"ECO+","5"
"MONTFORT","5"
"COMPTOIR DU GRAIN","5"
"Cran d'Escalles","5"
"SOLEANE","5"
"LES GLACES DE L'OLIVERAIE","5"
"Espinasse traiteur","5"
"NATURLAND","5"
"Le Bio des Eleveurs","5"
"CESAR","5"
"AUCHAN BABY","4"
"FAMILLE MARY","4"
"JEAN ROZE","4"
"GIE BERRY TOURAINE André PLAZA","4"
"Les Vaches de Fadainville","4"
"Europe cosmétique et parfums","4"
"NATURALIA","4"
"CHEF DESSERT","4"
"CASA","4"
"Ferdinand Chaudouard","4"
"COMPTOIR COLONIAL","4"
"Saint Alby","4"
"La Bovida","4"
"EAGLOBE","4"
"Maison Cottin","4"
"Brocéliande","4"
"CASINO CA VIENT D'ICI","4"
"SEVIMA","4"
"LE REVITAIS","4"
"ONE TWO FUN","4"
"Jules Courtial","4"
"E. LECLERC THIONVILLE","4"
"FIAT","4"
"FROMAGERIE DES GORS","4"
"Marius","4"
"Choix du Traiteur","4"
"Pierre Geronimi","4"
"Jeep","4"
"NATURALOE","4"
"TREFILACTION","4"
