categorie_de_produit,count
Alimentation,8239
,5520
Automobiles et moyens de déplacement,1225
Bébés-Enfants (hors alimentaire),438
Maison-Habitat,245
"Les personnes qui auraient consommé les « produits » mentionnés ci-dessus et qui présenteraient de la fièvre, isolée ou accompagnée de maux de tête, et des courbatures, sont invitées à consulter leur médecin traitant en lui signalant cette consommation.  Des formes graves avec des complications neurologiques et des atteintes maternelles ou fœtales chez la femme enceinte peuvent également parfois survenir. Les femmes enceintes ainsi que les personnes immunodéprimées et les personnes âgées doivent être particulièrement attentives à ces symptômes. La listériose est une maladie qui peut être grave et dont le délai d'incubation peut aller jusqu'à huit semaines.",228
"Vêtements, Mode, EPI",186
Hygiène-Beauté,166
"Appareils électriques, Outils",151
Autres,144
Sports-loisirs,68
Remboursement,67
"Les toxi-infections alimentaires causées par les salmonelles se traduisent par des troubles gastro-intestinaux (diarrhée, vomissements) d'apparition brutale souvent accompagnés de fièvre et de maux de tête qui surviennent généralement 6h à 72h après la consommation des produits contaminés.  Ces symptômes peuvent être plus prononcés chez les jeunes enfants, les femmes enceintes, les sujets immunodéprimés et les personnes âgées. Les personnes qui auraient consommé ces produits et qui présenteraient ces symptômes sont invitées à consulter leur médecin traitant en lui signalant cette consommation. En l'absence de symptômes dans les 7 jours après la consommation des produits concernés, il est inutile de s'inquiéter et de consulter un médecin. Si le produit doit subir une cuisson avant consommation : la cuisson à cœur des produits (œufs durs, pâtisseries, viandes de volailles…) à +65°C permet de détruire ces bactéries et de prévenir les conséquences d'une telle contamination.",66
"En raison du risque de blessures / effets indésirables suite à l'ingestion de ce produit, par précaution il est recommandé aux personnes qui détiendraient des produits appartenant au(x) lot(s) décrit(s) ci-dessus de ne pas les consommer.",39
"Les Escherichia coli shiga toxinogène (STEC) peuvent entraîner dans la semaine qui suit la consommation de produits contaminés, des diarrhées parfois sanglantes, des douleurs abdominales et des vomissements, accompagnés ou non de fièvre. Ces symptômes peuvent être suivis (5 à 8% des cas) de complications rénales sévères, principalement chez les enfants. Les personnes qui auraient consommé les produits mentionnés ci-dessus et qui présenteraient ce type de symptômes sont invitées à consulter sans délai leur médecin traitant en lui signalant cette consommation ainsi que le lieu et la date d'achat. En l'absence de symptôme dans les 15 jours après la consommation des produits concernés, il est inutile de s'inquiéter et de consulter un médecin. D'une façon générale, les autorités sanitaires rappellent que par précaution pour les populations plus sensibles comme les enfants, les personnes âgées ou immunodéprimées, les femmes enceintes, il est recommandé de cuire à cœur (70°C) les viandes hachées et les produits à base de viande hachée. Il faut également éviter la consommation de lait cru et de produits au lait cru. Il faut préférer les fromages à pâte pressée cuite (type Emmental, Comté, etc.), les fromages fondus à tartiner et les fromages au lait pasteurisé. Il faut éviter également la consommation de produits crus ou insuffisamment cuits à base de farine (pâtes à cookies, pâtes à pizza …). Les végétaux devraient être lavés soigneusement ou épluchés ou cuits avant d'être consommés.",37
Ces produits ont été fabriqués et/ou conservés dans des conditions ne permettant pas d'apporter de garanties sanitaires satisfaisantes. Ces produits sont donc susceptibles de présenter un danger pour la santé des consommateurs.,30
Remboursement Echange,22
Echange,15
Du 05/05/2021 au 10/06/2021,13
Listeria monocytogenes (agent responsable de la listériose),13
Du 01/01/2022 au 29/04/2022,11
Du 01/10/2022 au 04/02/2023,10
Produit à conserver au réfrigérateur,9
Du 01/01/2023 au 09/05/2023,9
Du 01/01/2021 au 31/12/2026,9
Dommages internes,8
"Les Escherichia coli peuvent entraîner dans les 3 jours qui suivent la consommation, des gastro-entérites marquées par des douleurs abdominales et des diarrhées (éventuellement accompagnées de sang), accompagnées ou non de fièvre. Les personnes qui auraient consommé les produits mentionnés ci-dessus et qui présenteraient ce type de symptômes sont invitées à consulter sans délai leur médecin traitant en lui signalant cette consommation et la nature du germe contaminant.",8
Du 11/12/2020 au 19/11/2022,7
