reference_fiche,ndeg_de_version,nature_juridique_du_rappel,categorie_de_produit,sous_categorie_de_produit,nom_de_la_marque_du_produit,noms_des_modeles_ou_references,identification_des_produits,conditionnements,date_debut_fin_de_commercialisation,temperature_de_conservation,marque_de_salubrite,informations_complementaires,zone_geographique_de_vente,distributeurs,motif_du_rappel,risques_encourus_par_le_consommateur,preconisations_sanitaires,description_complementaire_du_risque,conduites_a_tenir_par_le_consommateur,numero_de_contact,modalites_de_compensation,date_de_fin_de_la_procedure_de_rappel,informations_complementaires_publiques,liens_vers_les_images,lien_vers_la_liste_des_produits,lien_vers_la_liste_des_distributeurs,lien_vers_affichette_pdf,lien_vers_la_fiche_rappel,rappelguid,group_key
2021-03-0001,1,Volontaire (sans arrêté préfectoral),"Vêtements, Mode, EPI",Bijouterie,LOU YETU,Bracelet RAFAELLA,Tous les lots,,,,,,France entière,"LOU YETU
Autres",Présence de plomb en quantité supérieure au seuil prévu par la réglementation européenne (REACH),Intoxication,,,Ne plus utiliser le produit Rapporter le produit au point de vente,,Remboursement,,Le consommateur est invité à cesser immédiatement l'utilisation de ce produit et à le rapporter au lieu d'achat contre remboursement.,https://rappel.conso.gouv.fr/image/99952f76-9ae6-4d17-ba0f-802628a97ba5.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/9/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9/Interne,D8B0BE3C-007B-4B47-9E9D-B4C5878E60EA,2021-03-26
2021-04-0001,1,Volontaire (sans arrêté préfectoral),Alimentation,Plats préparés et snacks,CARREFOUR,COLUMBO DE LEGUMES EN BOCAL 530g,3560070544684 Tous les lots Date de durabilité minimale 29/12/2023 3560070544684 Tous les lots Date de durabilité minimale 20/01/2024 3560070544684 Tous les lots Date de durabilité minimale 22/02/2024,BOCAL 530g,,Produit à conserver à température ambiante,EMB 28280A,,France entière,"Carrefour, réseaux distribuant les produits à marque Carrefour.",Contaminants chimiques - OXYDE D'ETHYLENE,Autres contaminants chimiques,,Rappel suite à une alerte du fabricant concernant la présente potentielle d'oxyde d'éthylène à une teneur supérieure à la limite maximum réglementaire.,Ne plus consommer Rapporter le produit au point de vente,969397000,Remboursement,lundi 24 mai 2021,Ne pas consommer le produit. Le détruire ou le rapporter à l'accueil du magasin pour remboursement.,https://rappel.conso.gouv.fr/image/aa34e14a-87fc-402d-9b6b-305e77720e19.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/51/Interne,https://rappel.conso.gouv.fr/fiche-rappel/51/Interne,403454EC-105F-4997-88BC-91D395CF206A,2021-04-01
2021-04-0021,1,Volontaire (sans arrêté préfectoral),Alimentation,Autres,ISPAGHUL,Boite de 200 gélules revêtue d'une tiquette,20555 Date limite de consommation 30/11/2023,Boite de 200 gélules,Du 02/12/2020 au 23/03/2021,Produit à conserver à température ambiante,,,France entière,Laboratoires Fenioux,Oxyde d'éthylène,Présence de substance interdite Dépassement des limites autorisées de pesticides,,Poudre d'Ipaghul non conforme en oxyde d'éthylène,Ne plus consommer Rapporter le produit au point de vente Contacter le service consommateur Détruire le produit,254271694,Remboursement Autre (voir informations complémentaires),,Contacter les Laboratoires Fenioux pour un conseil de substitution de produit,https://rappel.conso.gouv.fr/image/429bc72e-a5ab-4c60-8c53-c8dd48f0095c.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/73/Interne,https://rappel.conso.gouv.fr/fiche-rappel/73/Interne,47F2227A-7339-4825-8790-C2880D0294C3,2021-04-07
2021-04-0100,1,Volontaire (sans arrêté préfectoral),Alimentation,Produits sucrés,JELLY BELLY,Harry Potter Jelly Slugs,Date de consommation recommandée 31/10/2021,Carton de 24 paquets souples de 59grammes,,Produit à conserver à température ambiante,,Bonbons en formes de limaces aromatisés aux fruits,France entière,"Sweets Clermont Ferrand - 31 Rue du 11 Novembre, 63000 Clermont-Ferrand
Sweets La roche sur Yon - 23 Rue Georges Clemenceau, 85000 La Roche-sur-Yon
Sweets Angoulême - 43 Rue Hergé, 16000 Angoulême
Sweets Limoges - 12 Rue Jean Jaurès, 87000 Limoges",Les lots mis en vente pourraient contenir du dioxyde de titane (E171) qui est interdit à la vente en France. Il convient de vérifier sur les paquets la présence ou non de cet additif dans les produits rappelés,Additifs et arômes non autorisés,,Le dioxyde de titane est suspecté de favoriser l'apparition de cancer colorectaux,Rapporter le produit au point de vente Contacter le point de vente,622940070,Remboursement,samedi 15 mai 2021,Mesure de précaution. Les produits pourraient être conformes à la législation.,https://rappel.conso.gouv.fr/image/50cccb16-855c-46c7-85c3-364d50b0f821.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/157/Interne,https://rappel.conso.gouv.fr/fiche-rappel/157/Interne,10F0EF28-89CE-4740-A534-91FE86373E91,2021-04-15
2021-04-0101,1,Volontaire (sans arrêté préfectoral),Alimentation,Produits sucrés,BUBBLICIOUS,Bubblicious - Chewing-gum goût Bubble Gum,Date de consommation recommandée 18/05/2021,carton de 18 paquets de 5 chewing-gum,,Produit à conserver à température ambiante,,,France entière,"Big Apple Besancon - 20 rue Gustave Courbet - 25000 BESANCON
Big Apple Strasbourg - 5,rue de l'arc en ciel - 67000 STRASBOURG
ROBIN'S Family - 38 bis grande rue 90100 Joncherey
The Candy Shop - 35 Rue Limogeanne - 24000 Perigueux",Le produit contient du dioxyde de titane (E171),Additifs et arômes non autorisés,,Le dioxyde de titane est suspecté de favoriser l'apparition de cancer colorectaux,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,622940070,Remboursement,samedi 15 mai 2021,,https://rappel.conso.gouv.fr/image/68c7f423-df83-445b-b3de-e8d05054ff94.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/158/Interne,https://rappel.conso.gouv.fr/fiche-rappel/158/Interne,C5C90ED7-3241-4D9D-8130-CAE7D4A14ED2,2021-04-15
2021-04-0135,1,Volontaire (sans arrêté préfectoral),Alimentation,Herbes et épices,TRS,Graines de cumin entier TRS 100g,5017689001674 10011538 Date de durabilité minimale 31/07/2022,sachet de 100g,Du 15/12/2020 au 09/04/2021,Produit à conserver à température ambiante,,Graines de cumin entier,France entière,"ASIE TIEN HUNG
MEKONG MARKET SARL
ASIA MARKET MARMANDE
ASIA STORE ANTIBES",Non-conformité pesticide : La teneur en pesticides (oxyde d’éthylène) présente dans le produit est supérieure à la norme,Dépassement des limites autorisées de pesticides,,,Ne plus consommer Rapporter le produit au point de vente,,Remboursement,,,https://rappel.conso.gouv.fr/image/b2e60977-d0b5-49cc-87a2-0310768e2a3b.jpg,https://rappel.conso.gouv.fr/document/e3ca0b69-39c1-4017-92e2-0aaf78974cf9/Interne/ListeDesProduits,,https://rappel.conso.gouv.fr/affichettePDF/192/Interne,https://rappel.conso.gouv.fr/fiche-rappel/192/Interne,51BD21BF-E216-40FE-AE11-9215606675BC,2021-04-16
2021-04-0197,1,Volontaire (sans arrêté préfectoral),Alimentation,Fruits et légumes,sans marque,FRAISE 1KG FRESLOTE CATEGORIE 1 ESPAGNE,8436576440018 Lot : 1304,plateau de 1kg,Du 01/04/2021 au 08/04/2021,Produit à conserver à température ambiante,,,France entière,METRO FRANCE,La présence de résidus de pesticides a été détectée. Par principe de précaution nous procédons donc au retrait de la vente du lot concerné.,Dépassement des limites autorisées de pesticides,,,Ne plus consommer Ne plus utiliser le produit,170960278,Remboursement,lundi 3 mai 2021,,https://rappel.conso.gouv.fr/image/18cd191a-8770-49a9-880c-e747e47106d9.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/257/Interne,https://rappel.conso.gouv.fr/fiche-rappel/257/Interne,2753478D-8C37-42B7-9D4C-B539287EC8FC,2021-04-28
2021-04-0228,1,Imposé par arrêté préfectoral,Alimentation,Autres,Blanche Bresson Institut,Phyto Brûleur de graisse,46AB025 Date de durabilité minimale 31/05/2022,Pilulier de 60 gélules,Du 27/11/2020 au 12/04/2021,Produit à conserver à température ambiante,,,France entière,Blanche Bresson Institut,"Suite à une alerte européenne concernant la présence d’un résidu de pesticide (oxyde d’éthylène) à des teneurs supérieures aux limites autorisées dans les produits alimentaires, Blanche Bresson Institut procède à un rappel de produit.",Dépassement des limites autorisées de pesticides,,,Ne plus consommer Ne plus utiliser le produit Contacter le service consommateur Détruire le produit,432763838,Remboursement Echange Autre (voir informations complémentaires),mercredi 30 juin 2021,"Notre Service Client se tient à votre disposition pour répondre à vos questions, pour échanger vos produits ou pour être remboursé au 04 32 76 38 38 (Appel non surtaxé. Du lundi au vendredi (hors jours fériés), de 8h30 à 18h.).",https://rappel.conso.gouv.fr/image/e958fda8-c458-407d-8787-5c909df891f4.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/290/Interne,https://rappel.conso.gouv.fr/fiche-rappel/290/Interne,379F472B-F2FD-4D2F-9801-F825E0DB0709,2021-04-30
2021-05-0012,1,Volontaire (sans arrêté préfectoral),Alimentation,Autres,Les Toqué Bio,"Poids net : 220g
code barre : 3448119007027",3448119007027 10364024 Date de durabilité minimale 15/07/2022,Boîte carton imprimée,Du 22/01/2021 au 14/04/2021,Produit à conserver au congélateur,FR 56.161.001 CE,produit surgelé Bio,Régions: Bretagne Normandie Pays-de-la-Loire,"AUCHAN, CARREFOUR",Présence d'une matière  première contaminée par oxyde d'éthylène,Substances interdites (au sens du Règlement UE 37/2010),,oxyde d'éthylène = produit cancérigène,Ne plus consommer Rapporter le produit au point de vente,297568960,Remboursement,vendredi 15 juillet 2022,,https://rappel.conso.gouv.fr/image/203a36b4-1c8a-41ca-ba4a-7841de3b24a9.jpg,https://rappel.conso.gouv.fr/document/6e7f72d9-b8d4-4590-b935-df68a007e539/Interne/ListeDesProduits,,https://rappel.conso.gouv.fr/affichettePDF/314/Interne,https://rappel.conso.gouv.fr/fiche-rappel/314/Interne,92E34F99-91F0-4F0A-8AFC-2AD876EA08E8,2021-05-06
2021-05-0013,1,Volontaire (sans arrêté préfectoral),Alimentation,Autres,VAGUES GOURMANDES,"Poids net : 220g
code barre : 3448119009083",3448119009083 10364026 Date de durabilité minimale 15/07/2022,boîte carton imprimée,Du 15/01/2021 au 14/04/2021,Produit à conserver au congélateur,FR 56.161.001 CE,produit surgelé Bio,France entière,"AQUIBIO, KILIMANDJABIO",contamination à l'oxyde d'éthylène d'une matière première,Substances interdites (au sens du Règlement UE 37/2010),,"L'oxyde d'éthylène est un biocide interdit, pouvant être cancérigène.",Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente,297568960,Remboursement,vendredi 15 juillet 2022,,https://rappel.conso.gouv.fr/image/9878cb3a-9dd6-4926-82b2-80ebb877bc23.jpg,https://rappel.conso.gouv.fr/document/dcb130bc-0968-4b41-a8ab-394777e42032/Interne/ListeDesProduits,,https://rappel.conso.gouv.fr/affichettePDF/315/Interne,https://rappel.conso.gouv.fr/fiche-rappel/315/Interne,169C6D29-4258-4672-A2F0-6E0587FEFCA8,2021-05-06
